color,director_name,num_critic_for_reviews,duration,director_facebook_likes,actor_3_facebook_likes,actor_2_name,actor_1_facebook_likes,gross,genres,actor_1_name,movie_title,num_voted_users,cast_total_facebook_likes,actor_3_name,facenumber_in_poster,plot_keywords,num_user_for_reviews,language,country,content_rating,budget,title_year,actor_2_facebook_likes,imdb_score,movie_facebook_likes
color,Color or Black & White,,,,,,,,,,,,,,,,,,,,,,,,
director_name,Name of director,,,,,,,,,,,,,,,,,,,,,,,,
num_critic_for_reviews,Number of critic reviews,,,,,,,,,,,,,,,,,,,,,,,,
duration,Duration of movie (in minutes),,,,,,,,,,,,,,,,,,,,,,,,
director_facebook_likes,Number of director's facebook likes,,,,,,,,,,,,,,,,,,,,,,,,
actor_3_facebook_likes,Actor 3's facebook likes,,,,,,,,,,,,,,,,,,,,,,,,
actor_2_name,Actor 2's name,,,,,,,,,,,,,,,,,,,,,,,,
actor_1_facebook_likes,Actor 1's facebook likes,,,,,,,,,,,,,,,,,,,,,,,,
gross,Gross Revenue,,,,,,,,,,,,,,,,,,,,,,,,
genres,Genres of the movie,,,,,,,,,,,,,,,,,,,,,,,,
actor_1_name,Actor 1's name,,,,,,,,,,,,,,,,,,,,,,,,
movie_title,Title of movie,,,,,,,,,,,,,,,,,,,,,,,,
num_voted_users,Number of user votes,,,,,,,,,,,,,,,,,,,,,,,,
cast_total_facebook_likes,Cast's total number of facebook likes,,,,,,,,,,,,,,,,,,,,,,,,
actor_3_name,Actor 3's name,,,,,,,,,,,,,,,,,,,,,,,,
facenumber_in_poster,Number of faces in poster,,,,,,,,,,,,,,,,,,,,,,,,
plot_keywords,Keywords from the plotline,,,,,,,,,,,,,,,,,,,,,,,,
num_user_for_reviews,Number of user reviews,,,,,,,,,,,,,,,,,,,,,,,,
language,Language of movie,,,,,,,,,,,,,,,,,,,,,,,,
country,Country of origin,,,,,,,,,,,,,,,,,,,,,,,,
content_rating,Motion Picture Rating,,,,,,,,,,,,,,,,,,,,,,,,
budget,Estimated budget,,,,,,,,,,,,,,,,,,,,,,,,
title_year,Year of release,,,,,,,,,,,,,,,,,,,,,,,,
actor_2_facebook_likes,Actor 2's facebook likes,,,,,,,,,,,,,,,,,,,,,,,,
imdb_score,IMDB Score,,,,,,,,,,,,,,,,,,,,,,,,
movie_facebook_likes,Total number of facebook likes for movie,,,,,,,,,,,,,,,,,,,,,,,,
